paper_id,title,year,authors,venue,publisher,publication_types,doi,arxiv_id,url,open_access_pdf,abstract,source,source_query
s2:e1145fb758302058bda5b0ff09defa39582810e1,"Artificial intelligence, capsule endoscopy, databases, and the Sword of Damocles",2021,X. Dray; E. Toth; Thomas de Lange; Anastasios Koulaouzidis,Endoscopy International Open,Other,LettersAndComments; JournalArticle,10.1055/a-1521-4882,,https://www.semanticscholar.org/paper/e1145fb758302058bda5b0ff09defa39582810e1,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/a-1521-4882.pdf,"We read with interest the editorial by Hassan et al [1] entitled “AI everywhere in endoscopy, not only for detection and characterization,” prompted by the recent paper of Hansen et al. on “Novel artificial intelligence (AI)-driven software significantly shortens the time required for annotation in computer vision projects” [2]. As Hassan et al. point out, unlike classic machine learning methods (MLM), the new kid on the block’s (i. e., deep learning [DL]) main advantage is its capability to automatically extract image features so that computers can use them to characterize their content [3]. This, essentially, means that the accuracy of this unsupervised approach depends primarily on the aptness and quality of the training data provided. Especially in the field of capsule endoscopy (CE), where imaging data are readily available, it remains to be determined who will plough through the images, delineate/annotate and comment on regions of interest, and make sure that DL training is performed with highquality material. Considering this, putting in a substantial amount of human effort (including personal) [1], we set off to create a series of respective CE databases, i. e., KID, CAD-CAP, and Kvasir Capsule [4–6] for the benefit of computer scientists, at the expense of effort by ourselves and colleagues. Although they are enriched by and enlarged with CE images from different manufacturers, the diverse databases contain numerous classes of gastrointestinal normal and abnormal findings that have been prepared in various way. Therefore, the level of cleanliness in the databases is diverse and they offer a unique opportunity and respective point of reference for AI software developers. This approach sets the scene for structured delivery of a series of much-needed solutions for accurate detection and characterization of abnormal CE findings. These include reliably producing thumbnails of anatomical landmarks (i. e. stomach, small bowel, colon), which is of tremendous importance especially with the emerging trend of panenteric CE [7]; reproducible assessment of bowel cleanliness [8], which can easily surpass that of human readers [9], thus allowing crucial decisions to be made on repeating a procedure; and, crucially, the relevance of findings according to the clinical setting [10]. The experience to date shows that the time required to create such databases is substantial, and the overall effort, cleverly described as human slavery to the inanimate AI master [1], is far from negligible. Instinctively one would want to consider maximizing the use of all the existing databases. However, planning for the future, we need concrete standards/guidelines for creating new databases according to user needs and international General Data Protection Regulation requirements. At present, though, our Sword of Damocles is sorting out any related medico-legal issues about data protection and eventually merging all the databases into a unique, free-toaccess, single database for DL training in CE [11].",semantic_scholar,APT machine learning detection
oa:W3214347812,Yoongoorrookoo,2021,Martuwarra RiverOfLife; Alessandro Pelizzon; Anne Poelina; Afshin Akhtar‐Khavari; Cristy Clark; Sarah Laborde; Elizabeth Macpherson; Katie O’Bryan; Erin O’Donnell; John Page,Griffith Law Review,Taylor & Francis,article,10.1080/10383441.2021.1996882,,https://openalex.org/W3214347812,https://www.tandfonline.com/doi/pdf/10.1080/10383441.2021.1996882?needAccess=true,"Since the momentous release of the Montecristi Constitution of Ecuador in 2008, which recognised Nature, or Pacha Mama, as a subject of rights, the rights of Nature movement across the world has gained exponential momentum, with numerous jurisdictions worldwide now recognising some form of legal subjectivity vested upon Nature. In particular, since 2017, river personhood has dominated news headlines around the world as one of the most recognisable forms of Nature’s novel subjectivity. The emergence of legal personhood for nature, however, has been far from uncontroversial, and numerous critiques have been advanced against the use of such a legal category – traditionally applied to humans and their abstract creations (such as States and corporations) – to the natural world, resulting in numerous calls for an alternative category of legal personhood (one that some rights of Nature advocates have termed an ‘environmental person’). Against the backdrop of this emerging debate, this paper acknowledges the work undertaken by the Martuwarra Fitzroy River Council (Martuwarra Council), which was established in 2018 in the Kimberley region of Western Australia by six independent Indigenous nations to preserve, promote and protect their ancestral River from ongoing destructive ‘development’. The Council believes it is time to recognise the pre-existing and continuing legal authority of Indigenous law, or ‘First Law’, in relation to the River, in order to preserve its integrity through a process of legal decolonisation. First Law differs markedly from its colonial counterpart, as its principles are not articulated in terms of rules, policies and procedures, but rather through stories. This paper, therefore, begins with a dialogical translation of one First Law story relating to Yoongoorrookoo,1 the ancestral serpent being,2 to create a semantic bridge between two apparently distant legal worldviews. A dialogical comparative analysis is then followed to posit and explore the concept of an ‘ancestral person’ as a novel comparative tool that may be able not only to capture the idea of Nature as a legal subject, but also complex Indigenous worldviews that see Nature – in this case instantiated in the Martuwarra – as an ancestral being enmeshed in a relationship of interdependence and guardianship between the human and the nonhuman world. To instantiate and embody such relationships, the paper directly, and somewhat provocatively, acknowledges the River itself, the Martuwarra RiverOfLife, as the primary participant in such dialogue, an embodied non-human co-author who began a conversation then left to human writers to continue.",openalex,APT campaign analysis attribution
s2:88c29ac0bf23bee8bc43a446f981bf6c2734695d,The Role of Reinforcement Learning in Adaptive Cyber Defense Mechanisms,2021,Emmanuel Cadet; Edima David Etim; Iboro Akpan Essien; Joshua Oluwagbenga Ajayi; Eseoghene Daniel Erigha,International Journal of Multidisciplinary Research and Growth Evaluation,Other,JournalArticle,10.54660/.ijmrge.2021.2.2.544-559,,https://www.semanticscholar.org/paper/88c29ac0bf23bee8bc43a446f981bf6c2734695d,,"The escalating sophistication, frequency, and unpredictability of cyberattacks necessitate defense mechanisms that can dynamically adapt to evolving threat landscapes. Traditional static security solutions, while effective against known attack vectors, often fail to counter zero-day exploits, advanced persistent threats (APTs), and adversaries employing adaptive tactics. Reinforcement Learning (RL) offers a promising paradigm for adaptive cyber defense, enabling systems to learn optimal defense strategies through continuous interaction with dynamic environments. This paper investigates the role of RL in developing intelligent, self-optimizing security frameworks capable of real-time decision-making in intrusion detection, network traffic analysis, malware mitigation, and automated incident response. By modeling the cyber defense problem as a sequential decision-making process, RL agents leverage reward functions to balance trade-offs between proactive prevention, timely detection, and efficient recovery from cyber incidents. Techniques such as Deep Q-Networks (DQN), Policy Gradient Methods, Actor–Critic architectures, and Multi-Agent Reinforcement Learning (MARL) are examined for their applicability to diverse cybersecurity scenarios. The proposed RL-based adaptive defense framework incorporates situational awareness by integrating multiple data sourcessuch as network telemetry, system logs, and threat intelligence feedsallowing for context-aware threat prioritization and response orchestration. Simulation experiments using benchmark datasets and emulated attack scenarios demonstrate that RL-driven defense systems can outperform conventional static rule-based models by reducing false positives, minimizing response latency, and dynamically reallocating resources to protect critical assets. Moreover, the study addresses challenges such as reward shaping, convergence stability, exploration–exploitation balance, and adversarial manipulation of RL policies. Strategies for integrating explainable RL to enhance transparency, compliance, and analyst trust are also discussed. Practical deployment considerations, including scalability, interoperability with existing Security Information and Event Management (SIEM) systems, and alignment with AI governance standards, are explored. The findings underscore the transformative potential of RL in achieving adaptive, resilient, and proactive cyber defense postures, contributing to the next generation of intelligent security systems capable of anticipating and countering sophisticated cyber threats in real time.",semantic_scholar,advanced persistent threat detection framework
oa:W3198540468,Impact of climate change on biodiversity and food security: a global perspective—a review article,2021,Melese Genete Muluneh,Agriculture & Food Security,Other,article,10.1186/s40066-021-00318-5,,https://openalex.org/W3198540468,https://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-021-00318-5,"Abstract Climate change is happening due to natural factors and human activities. It expressively alters biodiversity, agricultural production, and food security. Mainly, narrowly adapted and endemic species are under extinction. Accordingly, concerns over species extinction are warranted as it provides food for all life forms and primary health care for more than 60–80% of humans globally. Nevertheless, the impact of climate change on biodiversity and food security has been recognized, little is explored compared to the magnitude of the problem globally. Therefore, the objectives of this review are to identify, appraise, and synthesize the link between climate change, biodiversity, and food security. Data, climatic models, emission, migration, and extinction scenarios, and outputs from previous publications were used. Due to climate change, distributions of species have shifted to higher elevations at a median rate of 11.0 m and 16.9 km per decade to higher latitudes. Accordingly, extinction rates of 1103 species under migration scenarios, provide 21–23% with unlimited migration and 38–52% with no migration. When an environmental variation occurs on a timescale shorter than the life of the plant any response could be in terms of a plastic phenotype. However, phenotypic plasticity could buffer species against the long-term effects of climate change. Furthermore, climate change affects food security particularly in communities and locations that depend on rain-fed agriculture. Crops and plants have thresholds beyond which growth and yield are compromised. Accordingly, agricultural yields in Africa alone could be decline by more than 30% in 2050. Therefore, solving food shortages through bringing extra land into agriculture and exploiting new fish stocks is a costly solution, when protecting biodiversity is given priority. Therefore, mitigating food waste, compensating food-insecure people conserving biodiversity, effective use of genetic resources, and traditional ecological knowledge could decrease further biodiversity loss, and meet food security under climate change scenarios. However, achieving food security under such scenario requires strong policies, releasing high-yielding stress resistant varieties, developing climate resilient irrigation structures, and agriculture. Therefore, degraded land restoration, land use changes, use of bio-energy, sustainable forest management, and community based biodiversity conservation are recommended to mitigate climate change impacts.",openalex,advanced persistent threat taxonomy
s2:6c1e75f37186754e7a964abb9b534336e6513c03,Systematic Review of Penetration Testing and Vulnerability Assessment Using Nessus and Wireshark in Corporate IT Environments,2021,Olabode Michael Soneye; A. Adebayo; A. A. Afuwape; Ayorinde Olayiwola Akindemowo; Eseoghene Daniel Erigha; Ehimah Obuse; Joshua Oluwagbenga Ajayi; Emmanuel Cadet; Iboro Akpan Essien,Journal of Frontiers in Multidisciplinary Research,Other,JournalArticle; Review,10.54660/.jfmr.2021.2.1.467-479,,https://www.semanticscholar.org/paper/6c1e75f37186754e7a964abb9b534336e6513c03,,"Penetration testing and vulnerability assessment have become pivotal in strengthening corporate IT environments against an ever-expanding threat landscape. This systematic review critically examines the application of two widely utilized tools, Nessus and Wireshark, for enhancing cybersecurity resilience within corporate infrastructures. Nessus, a leading vulnerability scanner, enables organizations to proactively identify, prioritize, and remediate weaknesses in their systems. Wireshark, a powerful network protocol analyzer, assists in scrutinizing traffic for anomalies that could signal ongoing attacks or security misconfigurations. Through a structured analysis of peer-reviewed articles, technical reports, and case studies, this review categorizes findings across multiple corporate settings, highlighting best practices, challenges, and gaps in implementation. The study employs PRISMA methodology to ensure rigorous selection, assessment, and synthesis of 52 relevant publications from 2015 to 2021. Results indicate that while Nessus excels in vulnerability identification across operating systems and web applications, its effectiveness depends significantly on regular updates and proper configuration. Meanwhile, Wireshark’s packet-level inspection provides unparalleled visibility into network behavior but demands expert knowledge for accurate interpretation and actionable insights. The integration of Nessus and Wireshark in a comprehensive security strategy leads to measurable improvements in incident response times, compliance adherence, and risk mitigation outcomes. However, reliance on manual configurations and the potential for overwhelming data volumes remain persistent challenges. Emerging trends reveal that coupling Nessus with machine learning techniques for automated prioritization, and combining Wireshark with AI-driven anomaly detection, is gaining traction among advanced corporate security teams. Furthermore, organizational culture, training, and continuous monitoring were identified as critical enablers for maximizing the effectiveness of these tools. This review concludes with recommendations for developing adaptive frameworks that synergize Nessus and Wireshark capabilities with evolving cybersecurity needs. Future research should explore the scalability of hybrid automation models and the integration of these tools within zero-trust architectures to sustain proactive defense mechanisms in dynamic corporate environments.",semantic_scholar,advanced persistent threat detection framework
s2:76b1f92e95589b3693f180575aea55b369055b4e,Deep-Hook: A trusted deep learning-based framework for unknown malware detection and classification in Linux cloud environments,2021,Tom Landman; N. Nissim,Neural Networks,Elsevier (Scopus-indexed),JournalArticle,10.1016/j.neunet.2021.09.019,,https://www.semanticscholar.org/paper/76b1f92e95589b3693f180575aea55b369055b4e,,"Since the beginning of the 21st century, the use of cloud computing has increased rapidly, and it currently plays a significant role among most organizations' information technology (IT) infrastructure. Virtualization technologies, particularly virtual machines (VMs), are widely used and lie at the core of cloud computing. While different operating systems can run on top of VM instances, in public cloud environments the Linux operating system is used 90% of the time. Because of their prevalence, organizational Linux-based virtual servers have become an attractive target for cyber-attacks, mainly launched by sophisticated malware designed at causing harm, sabotaging operations, obtaining data, or gaining financial profit. This has resulted in the need for an advanced and reliable unknown malware detection mechanism for Linux cloud-based environments. Antivirus software and today's even more advanced malware detection solutions have limitations in detecting new, unseen, and evasive malware. Moreover, many existing solutions are considered untrusted, as they operate on the inspected machine and can be interfered with, and can even be detected by the malware itself, allowing malware to evade detection and cause damage. In this paper, we propose Deep-Hook, a trusted framework for unknown malware detection in Linux-based cloud environments. Deep-Hook hooks the VM's volatile memory in a trusted manner and acquires the memory dump to discover malware footprints while the VM operates. The memory dumps are transformed into visual images which are analyzed using a convolutional neural network (CNN) based classifier. The proposed framework has some key advantages, such as its agility, its ability to eliminate the need for features defined by a cyber domain expert, and most importantly, its ability to analyze the entire memory dump and thus to better utilize the existing indication it conceals, thus allowing the induction of a more accurate detection model. Deep-Hook was evaluated on widely used Linux virtual servers; four state-of-the-art CNN architectures; eight image resolutions; and a total of 22,400 volatile memory dumps representing the execution of a broad set of benign and malicious Linux applications. Our experimental evaluation results demonstrate Deep-Hook's ability to effectively, efficiently, and accurately detect and classify unknown malware (even evasive malware like rootkits), with an AUC and accuracy of up to 99.9%.",semantic_scholar,targeted cyber attack classification
s2:b83c7598f874602facb4d8b13cc494960dbceb50,A Review of Factors Affecting the Effectiveness of Phishing,2021,Robert Karamagi,Computer and Information Science,Other,Review,10.5539/cis.v15n1p20,,https://www.semanticscholar.org/paper/b83c7598f874602facb4d8b13cc494960dbceb50,https://ccsenet.org/journal/index.php/cis/article/download/0/0/46414/49534,"Phishing has become the most convenient technique that hackers use nowadays to gain access to protected systems. This is because cybersecurity has evolved and low-cost systems with the least security investments will need quite advanced and sophisticated mechanisms to be able to penetrate technically. Systems currently are equipped with at least some level of security, imposed by security firms with a very high level of expertise in managing the common and well-known attacks. This decreases the possible technical attack surface. Nation-states or advanced persistent threats (APTs), organized crime, and black hats possess the finance and skills to penetrate many different systems. However, they are always in need of the most available computing resources, such as central processing unit (CPU) and random-access memory (RAM), so they normally hack and hook computers into a botnet. This may allow them to perform dangerous distributed denial of service (DDoS) attacks and perform brute force cracking algorithms, which are highly CPU intensive. They may also use the zombie or drone systems they have hacked to hide their location on the net and gain anonymity by bouncing off around them many times a minute. Phishing allows them to gain their stretch of compromised systems to increase their power. For a normal hacker without the money to invest in sophisticated techniques, exploiting the human factor, which is the weakest link to security, comes in handy. The possibility of successfully manipulating the human into releasing the security that they set up makes the life of the hacker very easy, because they do not have to try to break into the system with force, rather the owner will just open the door for them. The objective of the research is to review factors that enhance phishing and improve the probability of its success. We have discovered that hackers rely on triggering the emotional effects of their victims through their phishing attacks. We have applied the use of artificial intelligence to be able to detect the emotion associated with a phrase or sentence. Our model had a good accuracy which could be improved with the use of a larger dataset with more emotional sentiments for various phrases and sentences. Our technique may be used to check for emotional manipulation in suspicious emails to improve the confidence interval of suspected phishing emails.",semantic_scholar,APT threat intelligence
s2:2cc8b66520baf61e066c9a2008b584b55a6116e9,A study of cyber attacks: In the healthcare sector,2021,Karuna S. Bhosale; M. Nenova; G. Iliev,2021 Sixth Junior Conference on Lighting (Lighting),IEEE,Conference; Review,10.1109/Lighting49406.2021.9598947,,https://www.semanticscholar.org/paper/2cc8b66520baf61e066c9a2008b584b55a6116e9,,"With the advent of technologies entering into every aspect of humankind, we as human beings need to, both, protect and secure ourselves, from the privileges and imprecations of the technologies. Securing the vast interdisciplinary and interconnected networks from different sectors like, government, military, finance, academics and recently recognized as the most essential and significant sector, who almost touched every human being, the Healthcare sector, has become the most strenuous task. Thus cybersecurity, which constitutes various technologies, processes and practices, designed to protect networks, devices, programs, and data from attack, damages and unauthorized access, attributes more towards surveillance. Healthcare sectors are extensively sensible and realistic to cyber-attacks, wherein disorganization in operations or even divulgence of patient's personal information can have profound consequences. In today's electronic world, as security had become the most vital area for organizations to function uninterruptedly, thus Cyber security had become the most significant and vibrant issue to be explored and researched. Cybersecurity is referred to as computer-based technology, intentionally and accidentally disordering and falsifying the fundamental software, hardware or networked connections. Due to the substantial amalgamation of technology into the healthcare system, Cybersecurity events had become an augment challenge for the healthcare sector. The cybersecurity menace had now approached an existential hazard to the future of the health sector. To upkeep the benefits of health care technology, we must also effectually protect patient information and the essential procedures of our health care entities. Cyber-attacks incidents are growing intimidation to the health care industry in general and hospitals in particular. Cyber-attacks had caused prominent damage to the health sector, breaching into patients personal and professional information, causing millions of dollars loss, in terms of revenues and fines. In this paper, we present the challenges of cyber security in healthcare and cyber-attacks classification based on their targeted security goal. Also, we provide a review of the literature on cybersecurity issues surrounding healthcare and discuss possible solutions to mitigate data breaches and cyber-attacks.",semantic_scholar,targeted cyber attack classification
s2:247207155d60f26487b751d7b82965a861b76245,Unmasking Boko Haram: Exploring Global Jihad in Nigeria,2021,I. Buba,South African Journal of International Affairs,Taylor & Francis,,10.1080/10220461.2021.1918235,,https://www.semanticscholar.org/paper/247207155d60f26487b751d7b82965a861b76245,,"achieve long-term strategic goals as it is for weak and fragile states to deter them. Her advice is to focus on grievance reduction, increasing human security, strengthening multilateral institutions and using military tools for strategic, targeted missions. She ends on a hopeful note: investments made in these areas might lead to increased security and stability at the state and regional levels, with a corresponding reduction in threat level – perceived and real. Futhi Luthango examines the potential impact of artificial intelligence (AI) on human and national security in Africa. He notes that, globally, policy and regulation are unable to catch up with the development of automated weapons systems and related military technologies. In Africa, although there is no record of extremist groups using AI to attack targets, the speed and sophistication with which they have adopted consumer technology (including social media, encryption and drones) serves as a warning that it is only a matter of time before they do. In Luthango’s analysis, Africa is in its ‘AI pre-infancy stage’ (p. 67) and the AU together with South Africa, Ghana, Nigeria, Rwanda and Kenya are well positioned to ‘promote the positive and forbid the negative’ (p. 67). However, one wonders whether state capacity exists to take this forward. Alternatively, one can envision the problem rather being an external one, whereby foreigners deploy AI on African soil to serve their own national interests. The US drone programme comes to mind, for example. To what extent do these kinds of analysis – and contributions to knowledge – shape our decision-makers’ thinking? Experienced policy advisors often lament that political expediency frequently overrides sage policy analysis and advice. The development and implementation of long-term, integrated societal responses to the deep problems of poverty, inequality and alienation across Africa do not benefit from transactional leadership. McGann’s call for ‘forming a systemic and symptomatic response’ to the challenges of insecurity remains apt. Visionary leadership is required to make progress in respect of the central problem of extremisms in Africa – and wielders of such leadership stand to benefit from drawing on the rich repository of research and analysis on display in the GGA’s three volumes.",semantic_scholar,APT threat intelligence
s2:fe6ea488803963ebb83a49a4ed7a21e613c37f52,A multi-layer approach for advanced persistent threat detection using machine learning based on network traffic,2021,Cho Do Xuan; Duc Duong; Xuan Dau Hoang,Journal of Intelligent & Fuzzy Systems,Other,JournalArticle,10.3233/JIFS-202465,,https://www.semanticscholar.org/paper/fe6ea488803963ebb83a49a4ed7a21e613c37f52,,"Advanced Persistent Threat (APT) is a dangerous network attack method that is widely used by attackers nowadays. During the APT attack process, attackers often use advanced techniques and tools, thus, causing many difficulties for information security systems. In fact, to detect the APT attacks, intrusion detection systems cannot rely on one technique or method but often combine multiple techniques and methods. In addition, the approach for APT attack detection using behavior analysis and evaluation techniques is facing many difficulties due to the lack of characteristic data of attack campaigns. For the above reasons, in this paper, we propose a method for APT attack detection based on a multi-layer analysis. The multi-layer analysis technique in our proposal computes and analyzes various events in Network Traffic to detect and synthesize abnormal signs and behaviors in order to make conclusions about the existence of APT in the system. Specifically, in our proposal, we will use serial 3 main layers for the APT attack detection process including i) Detecting APT attacks based on analyzing abnormal connection; ii) Detecting APT attacks based on analyzing and evaluating Suricata log; iii) Detecting APT attacks based on analyzing behavior profiles that are compiled from layers (i) and (ii). To achieve these goals, the multi-layer analysis technique for APT attack detection will perform 2 main tasks: i) Analyzing and evaluating components of Network Traffic based on abnormal signs and behaviors. ii) building and classifying behavior profile based on each component of network traffic. In the experimental section, we will compare and evaluate the effectiveness of the APT attack detection process of each layer in the multi-layer analysis model using machine learning. Experimental results have shown that the APT attack detection method based on analyzing behavior profile has yielded better results than individual detection methods on all metrics. The research results shown in the paper not only demonstrate the effectiveness of the multilayer analysis model for APT attack detection but also provide a novel approach for detecting several other cyber-attack techniques.",semantic_scholar,APT machine learning detection
