paper_id,title,year,authors,venue,doi,url,publisher,source,cluster_id,cluster_label
s2:e1145fb758302058bda5b0ff09defa39582810e1,"Artificial intelligence, capsule endoscopy, databases, and the Sword of Damocles",2021,X. Dray; E. Toth; Thomas de Lange; Anastasios Koulaouzidis,Endoscopy International Open,10.1055/a-1521-4882,https://www.semanticscholar.org/paper/e1145fb758302058bda5b0ff09defa39582810e1,Other,semantic_scholar,5,Unclassified (inspect top terms)
oa:W3214347812,Yoongoorrookoo,2021,Martuwarra RiverOfLife; Alessandro Pelizzon; Anne Poelina; Afshin Akhtar‐Khavari; Cristy Clark; Sarah Laborde; Elizabeth Macpherson; Katie O’Bryan; Erin O’Donnell; John Page,Griffith Law Review,10.1080/10383441.2021.1996882,https://openalex.org/W3214347812,Taylor & Francis,openalex,0,Unclassified (inspect top terms)
s2:88c29ac0bf23bee8bc43a446f981bf6c2734695d,The Role of Reinforcement Learning in Adaptive Cyber Defense Mechanisms,2021,Emmanuel Cadet; Edima David Etim; Iboro Akpan Essien; Joshua Oluwagbenga Ajayi; Eseoghene Daniel Erigha,International Journal of Multidisciplinary Research and Growth Evaluation,10.54660/.ijmrge.2021.2.2.544-559,https://www.semanticscholar.org/paper/88c29ac0bf23bee8bc43a446f981bf6c2734695d,Other,semantic_scholar,0,Unclassified (inspect top terms)
oa:W3198540468,Impact of climate change on biodiversity and food security: a global perspective—a review article,2021,Melese Genete Muluneh,Agriculture & Food Security,10.1186/s40066-021-00318-5,https://openalex.org/W3198540468,Other,openalex,0,Unclassified (inspect top terms)
s2:6c1e75f37186754e7a964abb9b534336e6513c03,Systematic Review of Penetration Testing and Vulnerability Assessment Using Nessus and Wireshark in Corporate IT Environments,2021,Olabode Michael Soneye; A. Adebayo; A. A. Afuwape; Ayorinde Olayiwola Akindemowo; Eseoghene Daniel Erigha; Ehimah Obuse; Joshua Oluwagbenga Ajayi; Emmanuel Cadet; Iboro Akpan Essien,Journal of Frontiers in Multidisciplinary Research,10.54660/.jfmr.2021.2.1.467-479,https://www.semanticscholar.org/paper/6c1e75f37186754e7a964abb9b534336e6513c03,Other,semantic_scholar,0,Unclassified (inspect top terms)
s2:76b1f92e95589b3693f180575aea55b369055b4e,Deep-Hook: A trusted deep learning-based framework for unknown malware detection and classification in Linux cloud environments,2021,Tom Landman; N. Nissim,Neural Networks,10.1016/j.neunet.2021.09.019,https://www.semanticscholar.org/paper/76b1f92e95589b3693f180575aea55b369055b4e,Elsevier (Scopus-indexed),semantic_scholar,2,Unclassified (inspect top terms)
s2:b83c7598f874602facb4d8b13cc494960dbceb50,A Review of Factors Affecting the Effectiveness of Phishing,2021,Robert Karamagi,Computer and Information Science,10.5539/cis.v15n1p20,https://www.semanticscholar.org/paper/b83c7598f874602facb4d8b13cc494960dbceb50,Other,semantic_scholar,2,Unclassified (inspect top terms)
s2:2cc8b66520baf61e066c9a2008b584b55a6116e9,A study of cyber attacks: In the healthcare sector,2021,Karuna S. Bhosale; M. Nenova; G. Iliev,2021 Sixth Junior Conference on Lighting (Lighting),10.1109/Lighting49406.2021.9598947,https://www.semanticscholar.org/paper/2cc8b66520baf61e066c9a2008b584b55a6116e9,IEEE,semantic_scholar,0,Unclassified (inspect top terms)
s2:247207155d60f26487b751d7b82965a861b76245,Unmasking Boko Haram: Exploring Global Jihad in Nigeria,2021,I. Buba,South African Journal of International Affairs,10.1080/10220461.2021.1918235,https://www.semanticscholar.org/paper/247207155d60f26487b751d7b82965a861b76245,Taylor & Francis,semantic_scholar,0,Unclassified (inspect top terms)
s2:fe6ea488803963ebb83a49a4ed7a21e613c37f52,A multi-layer approach for advanced persistent threat detection using machine learning based on network traffic,2021,Cho Do Xuan; Duc Duong; Xuan Dau Hoang,Journal of Intelligent & Fuzzy Systems,10.3233/JIFS-202465,https://www.semanticscholar.org/paper/fe6ea488803963ebb83a49a4ed7a21e613c37f52,Other,semantic_scholar,5,Unclassified (inspect top terms)
s2:25930378bd391e0b8dc3d57ec8d98bbd6594c63f,Blockchained Federated Learning for Threat Defense,2021,Konstantinos Demertzis,arXiv.org,,https://www.semanticscholar.org/paper/25930378bd391e0b8dc3d57ec8d98bbd6594c63f,Other,semantic_scholar,0,Unclassified (inspect top terms)
oa:W3120354059,A Multivocal Literature Review on Growing Social Engineering Based Cyber-Attacks/Threats During the COVID-19 Pandemic: Challenges and Prospective Solutions,2021,Mohammad Hijji; Gulzar Alam,IEEE Access,10.1109/access.2020.3048839,https://openalex.org/W3120354059,IEEE,openalex,0,Unclassified (inspect top terms)
oa:W3125947561,Cyber Threat Intelligence Framework for Incident Response in an Energy Cloud Platform,2021,Seonghyeon Gong; Changhoon Lee,Electronics,10.3390/electronics10030239,https://openalex.org/W3125947561,MDPI,openalex,2,Unclassified (inspect top terms)
oa:W3089006163,"Measurement report: Long-range transport patterns into the tropical northwest Pacific during the CAMP <sup>2</sup> Ex aircraft campaign: chemical composition, size distributions, and the impact of convection",2021,Miguel Ricardo A. Hilario; Ewan Crosbie; Michael A. Shook; Jeffrey S. Reid; Maria Obiminda Cambaliza; James Bernard Simpas; Luke D. Ziemba; Joshua P. DiGangi; Glenn S. Diskin; Phu Nguyen; F. Joseph Turk; Edward L. Winstead; Claire Robinson; Jian Wang; Jiaoshi Zhang; Yang Wang; Subin Yoon; James Flynn; Sergio Alvarez; Ali Behrangi; Armin Sorooshian,Atmospheric chemistry and physics,10.5194/acp-21-3777-2021,https://openalex.org/W3089006163,Other,openalex,2,Unclassified (inspect top terms)
oa:W3157672484,Survey on Detection and Prevention of Phishing Websites using Machine Learning,2021,Malaika Rastogi; Anmol Chhetri; Divyanshu Singh; Gokul Rajan,2021 International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),10.1109/icacite51222.2021.9404714,https://openalex.org/W3157672484,IEEE,openalex,0,Unclassified (inspect top terms)
s2:07374415a0c5fd0c97fa07c4f8a1f460ee75bf2a,Cyber-Security Challenges in Aviation Industry: A Review of Current and Future Trends,2021,Elochukwu A. Ukwandu; M. B. Farah; Hanan Hindy; Miroslav Bures; Robert C. Atkinson; C. Tachtatzis; X. Bellekens,Inf.,10.3390/info13030146,https://www.semanticscholar.org/paper/07374415a0c5fd0c97fa07c4f8a1f460ee75bf2a,MDPI,semantic_scholar,0,Unclassified (inspect top terms)
s2:4e5724cc91d9f3acca91305b2e41eb43267eea31,Intrusion Detection Based on Sequential Information Preserving Log Embedding Methods and Anomaly Detection Algorithms,2021,Czangyeob Kim; Myeongjun Jang; Seungwan Seo; Kyeongchan Park; Pilsung Kang,IEEE Access,10.1109/ACCESS.2021.3071763,https://www.semanticscholar.org/paper/4e5724cc91d9f3acca91305b2e41eb43267eea31,IEEE,semantic_scholar,5,Unclassified (inspect top terms)
oa:W4299878825,"The wrongs, harms, and ineffectiveness of torture: A moral evaluation from empirical neuroscience",2022,Nayef R. F. Al-Rodhan,Journal of Social Philosophy,10.1111/josp.12494,https://openalex.org/W4299878825,Other,openalex,0,Unclassified (inspect top terms)
s2:c5569dbb5e49ea92a75cb29d8d7a678126631d0f,Estimating Attackers’ Profiles Results in More Realistic Vulnerability Severity Scores,2022,Kitty Kioskli; Nineta Polemi,Human Factors in Cybersecurity,10.54941/ahfe1002211,https://www.semanticscholar.org/paper/c5569dbb5e49ea92a75cb29d8d7a678126631d0f,Other,semantic_scholar,1,Unclassified (inspect top terms)
s2:950191f6dfa282a83ad6d6628191fd7536267f38,Cybersecurity in Industrial Control Systems: Strategies for Protecting Critical Infrastructure,2022,Kratika Jain,International Journal of Research in Modern Engineering &amp; Emerging Technology,10.63345/ijrmeet.org.v10.i11.4,https://www.semanticscholar.org/paper/950191f6dfa282a83ad6d6628191fd7536267f38,Other,semantic_scholar,2,Unclassified (inspect top terms)
oa:W4210870994,Cyber resilience in supply chain system security using machine learning for threat predictions,2022,Abel Yeboah-Ofori; Cameron Swart; Francisca Afua Opoku-Boateng; Shareeful Islam,Continuity & Resilience Review,10.1108/crr-10-2021-0034,https://openalex.org/W4210870994,Other,openalex,0,Unclassified (inspect top terms)
s2:06ce26d3d4a07f05d91ddf87472c2ad9fffce9e7,Smart Grid and wind generators: an overview of cyber threats and vulnerabilities of power supply networks,2022,Ihor Fursov; Klym Yamkovyi; Olexander Shmatko,RADIOELECTRONIC AND COMPUTER SYSTEMS,10.32620/reks.2022.4.04,https://www.semanticscholar.org/paper/06ce26d3d4a07f05d91ddf87472c2ad9fffce9e7,Other,semantic_scholar,6,Unclassified (inspect top terms)
s2:26cbc9c9000a118d6a754acd5b0423daf2001e75,A Novel Approach of BRELU RESNET Based Cyber Attack Detection System with BAIT Based Approach for Mitigation,2022,S. Prabhu; N. P. S.,International journal of applied engineering and management letters,10.47992/ijaeml.2581.7000.0134,https://www.semanticscholar.org/paper/26cbc9c9000a118d6a754acd5b0423daf2001e75,Other,semantic_scholar,0,Unclassified (inspect top terms)
